,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,genji,hazard,hanzo,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2,platinum 2
Deaths,3952,99,,63,67,19,24,275,47,8,487,89,4,125,31,238,,15,324,32,81,161,3,28,40,21,113,3,96,76,158,127,3,10,162,70,94,317,18,28,78,76,86,23,9,122
Damage Done,4690146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,3908,65,,66,61,32,22,264,44,3,332,81,,128,29,284,,26,303,25,59,132,2,,31,15,116,,97,112,167,266,,14,163,107,160,250,4,22,42,72,96,17,29,166
Time Spent on Fire,12397,81,,185,183,,,1123,93,117,1875,447,72,258,434,542,,300,294,418,316,,,104,94,,227,56,109,81,219,952,,27,15,,259,1650,112,416,628,38,,572,,100
Melee Final Blows,305,4,,,3,,,9,8,,75,3,,14,2,5,,2,6,,7,33,,,,,,,,,26,16,,,7,,6,50,,4,4,4,5,,,5
Objective Contest Time,4947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,1675,8,,17,8,4,7,112,28,,271,45,,47,11,140,,6,206,2,13,39,,,7,,47,,50,21,63,34,,7,69,34,30,196,4,12,46,32,16,,4,35
Multikills,134,,,,2,,,8,3,,11,8,,7,3,3,,2,15,,,2,,,3,,4,,7,8,,8,,,,5,7,11,,,2,,,,,5
of Match on Fire,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,104,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,
Defensive Assists,1359,174,,,213,,64,,,,,,,,,,,,,,243,173,,66,64,,,,,,,,,6,,,,,,,,,,,10,346
Offensive Assists,1264,119,,,17,,16,,,,,,,,,,,,69,,78,221,2,18,,13,,,,46,121,25,,,251,,,,,,,,,,15,253
Healing Done,1029133,120367,,,114477,2031,23890,21,1554,1909,25324,3317,475,160,,463,289,7437,,30139,156787,146489,188,40057,42467,,,,20801,,6964,,,3415,30927,,,2465,370,45,,667,,29762,,120684
Assists,768,48,,3,47,,,22,4,,68,2,,2,18,25,,20,19,29,242,16,,13,28,,9,,,4,5,14,,,7,,3,,3,7,23,,,57,,29
Cards,228,2,,6,6,2,3,10,6,,14,4,,4,,19,,,16,,2,10,,,,,7,,6,15,11,21,,2,13,7,9,6,,,,6,5,,2,9
Scoped Accuracy - Best in Game,,100,,55,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,
Self Healing,,10945,,,14405,2031,4163,,,1696,,,414,,,,,7074,,,,49192,188,4233,10483,,,,20557,,102156,,,2036,,,,37681,,,,,,,,4735
Self Healing - Most in Game,,829,,,1346,1000,,,,1003,,,,,,,,4300,,,,3429,188,1848,1678,,,,3362,,5593,,,1169,,,,1402,,,,,,,,523
Enemies Slept,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
