,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,tracer,vendetta,widowmaker,winston,wuyang,zarya,zenyatta
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Hero Damage Done - Most in Life,,5180,4718,7007,2709,2497,3672,7264,4878,11132,3174,4812,8736,1917,6779,4898,7722,1031,4213,1746,4730,4700,1802,508,4652,548,3047,2908,7086,2651,6062,4459,1466,4394,8866,8088,6585,4608,4061,3972,5257,4141,5831,3868,4173,6159,6203
Environmental Kill - Most in Game,,1,,,,,,1,,1,1,1,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Obj Contest Time - Most in Game,,90,84,115,6,23,113,123,128,93,47,39,74,10,110,11,72,9,103,,99,114,41,,55,46,24,49,134,13,187,49,23,23,98,9,84,89,6,30,87,28,11,90,75,69,36
Obj Contest Time - Avg per 10 Min,,14,34,25,7,30,46,25,71,51,42,18,20,10,30,7,16,15,65,,25,24,42,,44,12,18,25,60,13,78,46,63,28,65,5,22,46,8,25,33,21,2,64,19,59,13
Melee Final Blows - Avg per 10 Min,,0.18,0.36,0.13,,,,0.48,1.21,0.64,,0.53,0.32,,1.61,,0.24,,1.38,,0.48,0.14,0.22,,,,0.38,0.25,0.35,,1.13,0.26,,3.63,0.82,0.45,0.12,0.23,0.99,0.3,1.77,,0.15,1.7,,0.16,0.36
All Damage Done - Avg per 10 Min,,5028,9323,12911,6836,14179,4873,12817,13363,20136,9385,12283,14497,10857,10299,13933,9357,2792,13109,9441,5761,6028,6048,6239,26726,393,6651,6559,15557,10686,14776,12922,4841,13603,16400,16461,12960,13425,7321,11158,8094,9835,8056,10540,8115,14701,9516
Eliminations per Life,,2.45,2.42,2.82,3.1,2.18,1.28,3.03,4.57,3.72,1.89,2.4,3.24,1.09,3.18,2.55,3.42,3.6,4.13,,4,2.65,1.94,0.5,2.45,0.23,3.05,3.79,3.84,2.45,4.5,4.9,0.89,3.2,6.04,2.67,3.03,2.86,3.55,3.67,2.66,2.34,2.85,3.57,2.68,4.38,3.13
Win Percentage,,54,66,55,37,64,46,54,74,51,44,38,56,53,60,50,60,48,73,25,51,55,61,,52,40,76,51,52,51,71,66,17,25,76,,59,38,52,62,44,63,60,93,65,51,50
All Damage Done,,726379,153589,300171,12040,23859,74523,638843,88674,283777,41918,300580,406848,13836,1666500,109779,382828,3071,142768,2015,95802,888809,27224,783,81769,4446,53159,26108,87810,42196,130855,50334,6149,11231,120070,36870,672648,57533,14832,75644,370792,153482,163617,37187,57676,269907,211502
Environmental Kill,,1,,,,,,1,,1,1,1,,,,,1,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Obj Contest Time,,2020,564,574,12,51,702,1248,470,720,184,443,567,13,4859,52,635,17,710,,409,3598,187,,133,129,142,98,340,52,692,166,30,23,476,10,1122,198,15,170,1501,323,38,224,135,991,293
