,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junkrat,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5,gold 5
Damage,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1,silver 1
Support,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5,silver 5
Biotic Grenade Kills - Avg per 10 Min,,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,4,6,5,8,11,9,10,18,11,3,11,13,15,8,10,,13,20,10,19,10,10,6,19,9,6,9,8,10,17,15,8,11
All Damage Done - Most in Life,,2192,2804,3326,3237,5456,2135,3651,6271,3883,4728,3340,7359,8447,1746,4200,530,2550,5401,4430,7654,7258,6569,3112,5050,1480,2334,4113,3886,3239,4625,5968,1701,2903
Weapon Accuracy - Best in Game,,100,45,50,34,33,,52,28,37,21,46,63,58,100,48,54,,32,73,39,,50,,42,50,39,75,50,78,,71,53,80
Solo Kill - Most in Game,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Hero Damage Done - Most in Life,,1014,2594,1571,2239,2825,2102,2602,4091,3025,2898,2758,4238,3635,1363,3361,510,2041,3891,3185,6016,5727,3144,2085,5028,1064,2116,3146,3259,2786,3507,5570,1444,1873
Melee Final Blows - Avg per 10 Min,,0.66,,,,0.08,,0.07,0.32,0.31,,0.25,0.36,0.08,0.57,0.22,,,0.18,,0.18,,0.44,0.45,0.18,0.34,,,0.64,0.08,1.23,0.7,,0.24
All Damage Done - Avg per 10 Min,,4323,9782,8314,6972,11034,3720,7004,8821,6032,12456,6428,8637,11473,4593,6962,653,5636,10071,9389,10024,6988,8080,6363,11193,3360,7728,8834,6752,5364,6569,6701,5283,5795
Eliminations per Life,,1.13,2.5,1.32,2.15,2.54,1.52,1.64,3.38,1.08,0.67,1.6,1.9,1.83,1.2,2.33,0.11,2.69,3.57,2.04,2.58,1.78,2.59,3.45,2.35,1.18,1.6,1.98,1.56,1.54,2.59,1.99,1.59,1.48
Win Percentage,,50,100,39,75,57,35,50,34,43,,38,49,56,46,71,26,64,83,60,55,47,64,41,44,38,23,30,59,29,45,49,35,46
All Damage Done,,45662,9863,34620,26010,132968,17587,102032,83503,78700,6152,202664,383910,137005,48506,64180,1301,46325,56804,46454,169604,97730,129313,14094,126780,19978,15694,54389,42505,70201,112491,183129,22548,73660
Weapon Accuracy,,23,45,37,29,19,,35,25,25,26,28,31,25,30,32,32,,28,48,23,,22,,33,32,27,21,32,31,,28,32,25
Offensive Assists - Avg per 10 Min,,5.68,,,1.34,,4.02,,,,,,,0.75,2.18,6.51,1.5,,9.75,,,2.36,3.44,,,4.71,,,,,,,3.05,11.96
Defensive Assists - Avg per 10 Min,,7.95,,,8.04,,17.13,,,,,,,,5.11,,5.02,6.33,,,,,,,1.59,,,,,,,,4.22,11.88
Critical Hit Damage,,,2714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited - Most in Game,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Most in Game,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Most in Game,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Avg per 10 Min,,,2691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dancing Blaze Kills - Avg per 10 Min,,,8.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ultimate Kills - Avg per 10 Min,,,2.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
