,all-heroes,anran,ashe,bastion,cassidy,dva,doomfist,emre,genji,hanzo,junker-queen,mauga,moira,pharah,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,tracer,venture,widowmaker,winston,wrecking-ball,zarya
Tank,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3,diamond 3
Obj Contest Time - Avg per 10 Min,,10,5,6,30,40,38,23,29,10,22,46,1,5,79,36,43,20,10,20,24,20,25,2,25,32,36
Melee Final Blows - Avg per 10 Min,,0.65,0.6,,0.67,2.99,2.78,,2.58,0.42,1.95,,,,,,2.65,1.3,,,1.97,3.27,,,5.0,1.87,0.64
All Damage Done - Avg per 10 Min,,4718,12401,17220,11995,15228,13280,15589,12325,12365,15478,11451,7709,13043,19396,11443,13843,14212,13785,14751,8361,9519,9353,7515,13475,10417,17834
Eliminations per Life,,1.75,3.08,6.14,2.56,5.73,3.14,1.83,2.7,3.24,5,,2.57,3.75,7,2.14,3.3,5.25,2.56,2.5,3.15,2.37,2.43,3,3,2,7.89
Game Won,,1,,,,,,,,,,,1,,,,,,1,,,,,,,1,
Hero Win,,1,,,,,,,,,,,1,,,,,,1,,,,,,,1,
Win Percentage,,50,86,100,71,72,75,,47,100,68,,100,65,100,44,14,60,100,74,57,74,100,94,,55,82
Game Lost,,1,,,,,,1,,,,,,,,,,1,,,1,,,,1,,
Solo Kill,,1,,,,,,,,,,,,,1,,,,,,,,,,,,
All Damage Done,,7206,41314,21015,35604,45878,166934,8380,172304,29367,39721,2924,6708,35231,5385,81039,47037,21875,14130,10750,17020,84460,16609,10462,13475,22260,139935
Melee Final Blow,,1,,,,,,,,1,,,,,,,,,,,,,,,,,
Obj Contest Time,,15,15,7,89,121,472,12,402,23,57,12,1,13,22,253,145,31,10,15,48,182,44,3,25,69,285
Weapon Accuracy,,37,47,35,47,35,35,35,37,39,45,37,,53,41,,31,53,38,45,33,38,69,44,67,40,42
Scoped Critical Hits,,,39,,,,,,,,,,,,,,,,,,,,,24,,,
Scoped Critical Hits - Most in Game,,,4,,,,,,,,,,,,,,,,,,,,,8,,,
Scoped Accuracy - Best in Game,,,49,,,,,37,,,,,,,,,,,,,,,,56,,,
Dynamite Kills,,,36,,,,,,,,,,,,,,,,,,,,,,,,
Dynamite Kills - Most in Game,,,13,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills,,,9,,,,,,,,,,,,,,,,,,,,,,,,
Coach Gun Kills - Most in Game,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills,,,7,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Most in Game,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hit Kills,,,9,,,,,,,,,,,,,,,,,,,,,16,,,
Long Range Final Blows,,,9,,,,,,,2,,,,2,,,,,,,,,,14,,,
Long Range Final Blows - Most in Game,,,4,,,,,,,,,,,,,,,,,,,,,7,,,
Scoped Accuracy,,,47,,,,,37,,,,,,,,,,,,,,,,52,,,
Scoped Critical Hit Kills - Avg per 10 Min,,,2.7,,,,,,,,,,,,,,,,,,,,,11.49,,,
Long Range Final Blows - Avg per 10 Min,,,2.7,,,,,,,0.84,,,,0.74,,,,,0.98,,,,,10.06,,,
Scoped Critical Hit Accuracy,,,16,,,,,,,,,,,,,,,,,,,,,31,,,
Dynamite Kills - Avg per 10 Min,,,10.81,,,,,,,,,,,,,,,,,,,,,,,,
Bob Kills - Avg per 10 Min,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Critical Hits - Avg per 10 Min,,,11.71,,,,,,,,,,,,,,,,,,,,,17.24,,,
Coach Gun Kills - Avg per 10 Min,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hits - Most in Game,,,20,34,13,509,239,16,47,15,148,88,,,76,,194,,67,29,74,229,,12,,142,
Critical Hits - Most in Life,,,8,12,7,182,95,9,17,6,97,39,,,47,,64,,23,25,39,117,,6,,55,
Critical Hit Kills - Most in Game,,,4,4,3,4,5,,7,8,5,,,,,,4,,,,2,5,,8,,2,
Critical Hit Kills - Avg per 10 Min,,,3.3,4.92,3.03,1.66,2.63,,2.22,5.47,3.51,,,,3.6,,2.06,,,1.37,2.46,1.92,,11.49,,1.87,
Critical Hits - Avg per 10 Min,,,17.11,36.87,13.48,422,148,29.77,27.9,14.32,142,345,,,274,,169,,65.37,59.0,87.94,180,,18.68,,132,
Knockback Kills,,,12,,,37,223,,,,,,,22,,14,7,,,,,,,,3,16,
Knockback Kills - Most in Game,,,6,,,16,34,,,,,,,9,,3,3,,,,,,,,3,9,
Knockback Kills - Avg per 10 Min,,,3.6,,,12.28,17.74,,,,,,,8.14,,1.98,2.06,,,,,,,,3.0,7.49,
Critical Hits,,,57,45,40,1270,1863,16,390,34,365,88,,,76,,573,,67,43,179,1600,,26,,282,
Critical Hit Kills,,,11,6,9,5,33,,31,13,9,,,,,,7,,,,5,17,,16,,4,
Critical Hit Accuracy,,,14,4,8,9,11,13,13,13,14,15,,,10,,15,,8,9,14,13,,22,,13,
Artillery Kills,,,,4,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Most in Game,,,,3,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills,,,,25,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Most in Game,,,,18,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills,,,,16,,,,,,,,,,,,,,,,,,,,,,,
Tank Kills - Most in Game,,,,13,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills,,,,14,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Most in Game,,,,11,,,,,,,,,,,,,,,,,,,,,,,
Tactical Grenade Kills - Avg per 10 Min,,,,11.47,,,,,,,,,,,,,,,,,,,,,,,
Recon Kills - Avg per 10 Min,,,,20.49,,,,,,,,,,,,,,,,,,,,,,,
Artillery Kills - Avg per 10 Min,,,,3.28,,,,,,,,,,,,,,,,,,,,,,,
Assault Kills - Avg per 10 Min,,,,13.11,,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Most in Game,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills,,,,,12,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Most in Game,,,,,6,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Most in Game,,,,,8,,,,,,,,,,,,,,,,,,,,,,
Deadeye Kills - Avg per 10 Min,,,,,2.02,,,,,,,,,,,,,,,,,,,,,,
Flashbang Kills - Avg per 10 Min,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,
Fan the Hammer Kills - Avg per 10 Min,,,,,4.04,,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills,,,,,,14,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Most in Game,,,,,,6,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills,,,,,,50,,,,,,,,,,,,,,,,,,,,,
Call Mech Kill,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Most in Game,,,,,,18,,,,,,,,,,,,,,,,,,,,,
Call Mech Kill - Most in Game,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Self-Destruct Kills - Avg per 10 Min,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,
Micro Missile Kills - Avg per 10 Min,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,
Call Mech Kills - Avg per 10 Min,,,,,,4.65,,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills,,,,,,,30,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Most in Game,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Overhealth Created,,,,,,,42683,,,,,646,,,,,,1760,,,,,,,,,
Overhealth Created - Most in Game,,,,,,,5700,,,,,646,,,,,,1131,,,,,,,,,
Rocket Punch Kills,,,,,,,223,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills,,,,,,,155,,,,,,,,,,,,,,,,,,,,
Seismic Slam Kills - Most in Game,,,,,,,21,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Most in Game,,,,,,,34,,,,,,,,,,,,,,,,,,,,
Overhealth Created - Avg per 10 Min,,,,,,,3396,,,,,2531,,,,,,1144,,,,,,,,,
Seismic Slam Kills - Avg per 10 Min,,,,,,,12.33,,,,,,,,,,,,,,,,,,,,
Meteor Strike Kills - Avg per 10 Min,,,,,,,2.39,,,,,,,,,,,,,,,,,,,,
Rocket Punch Kills - Avg per 10 Min,,,,,,,17.74,,,,,,,,,,,,,,,,,,,,
Environmental Kills - Avg per 10 Min,,,,,,,0.32,,,,,,,,,,,,,,,,,,,0.47,
Self Healing,,,,,,,,976,,,8888,449,1839,,976,,16236,,,534,,11678,,,,,
Override Protocol Kills - Most in Game,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Override Protocol Kills,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done,,,,,,,,1563,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Most in Game,,,,,,,,1563,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done,,,,,,,,2274,,,,,,,,,,,,,,,,,,,
Siphon Blaster Damage Done - Most in Game,,,,,,,,2274,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,,,,,,,1816,,,3463,1757,2114,,3515,,4778,,,733,,1316,,,,,
Siphon Blaster Damage Done - Avg per 10 Min,,,,,,,,4231,,,,,,,,,,,,,,,,,,,
Override Protocol Kills - Avg per 10 Min,,,,,,,,3.72,,,,,,,,,,,,,,,,,,,
Cyber Frag Damage Done - Avg per 10 Min,,,,,,,,2908,,,,,,,,,,,,,,,,,,,
Game Played,,,,,,,,1,,,,,1,,,,,,1,,,,,,1,,
Dragonblade Kills,,,,,,,,,73,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Most in Game,,,,,,,,,12,,,,,,,,,,,,,,,,,,
Damage Reflected,,,,,,,,,28052,,,,,,,,,,,,,,,,,,
Damage Reflected - Most in Game,,,,,,,,,3239,,,,,,,,,,,,,,,,,,
Swift Strike Resets,,,,,,,,,339,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Most in Game,,,,,,,,,339,,,,,,,,,,,,,,,,,,
Dragonblade Kills - Avg per 10 Min,,,,,,,,,5.22,,,,,,,,,,,,,,,,,,
Damage Reflected - Avg per 10 Min,,,,,,,,,2007,,,,,,,,,,,,,,,,,,
Swift Strike Resets - Avg per 10 Min NYI,,,,,,,,,24.25,,,,,,,,,,,,,,,,,,
Dragonstrike Kills,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Dragonstrike Kill - Most in Game,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Storm Arrow Kills,,,,,,,,,,25,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Most in Game,,,,,,,,,,13,,,,,,,,,,,,,,,,,
Long Range Final Blow - Most in Game,,,,,,,,,,1,,,,1,,,,,1,,,,,,,,
Dragonstrike Kills - Avg per 10 Min,,,,,,,,,,1.26,,,,,,,,,,,,,,,,,
Storm Arrow Kills - Avg per 10 Min,,,,,,,,,,10.53,,,,,,,,,,,,,,,,,
Recon Assists - Avg per 10 Min,,,,,,,,,,5.47,,,,,,,,,,,,,,7.18,,,
Self Healing - Most in Game,,,,,,,,,,,3378,449,1839,,976,,6154,,,352,,1424,,,,,
Jagged Blade Kills,,,,,,,,,,,35,,,,,,,,,,,,,,,,
Jagged Blade Kills - Most in Game,,,,,,,,,,,15,,,,,,,,,,,,,,,,
Jagged Blade Accuracy - Best in Game,,,,,,,,,,,53,,,,,,,,,,,,,,,,
Carnage Kills,,,,,,,,,,,27,,,,,,,,,,,,,,,,
Carnage Kills - Most in Game,,,,,,,,,,,10,,,,,,,,,,,,,,,,
Rampage Kills,,,,,,,,,,,18,,,,,,,,,,,,,,,,
Rampage Kills - Most in Game,,,,,,,,,,,9,,,,,,,,,,,,,,,,
Wound Uptime Percentage,,,,,,,,,,,20,,,,,,,,,,,,,,,,
Jagged Blade Accuracy,,,,,,,,,,,47,,,,,,,,,,,,,,,,
Rampage Kills - Avg per 10 Min,,,,,,,,,,,7.01,,,,,,,,,,,,,,,,
Jagged Blade Kills - Avg per 10 Min,,,,,,,,,,,13.64,,,,,,,,,,,,,,,,
Carnage Kills - Avg per 10 Min,,,,,,,,,,,10.52,,,,,,,,,,,,,,,,
Multikill,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,
Critical Hit Damage,,,,,,,,,,,,1292,,,,,,,,,,,,,,,
