,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1,diamond 1
Support,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3,master 3
Open,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5,diamond 5
Healing Done - Avg per 10 Min,2044,5507,617,,8832,911,6732,0.47,49.66,3383,3.58,148,880,,2.53,166,,4706,5540,1605,0.12,5472,7930,8216,6043,1145,1134,7731,6811,7412,,,172,935,,3557,,,,1604,1079,70.15,,,,,,,14.29,8126,,5549
Final Blows - Avg per 10 Min,8.16,3.25,8.82,11.13,3.09,11.55,5.34,10.4,9.17,12.16,8.35,10.6,5.4,13.98,10.2,10.31,8.05,5.06,2.5,9.33,11.61,3.02,4.93,2.15,2.99,,7.67,1.04,2.78,8.57,4.58,10.83,11.94,12.03,6.95,8.93,9.36,8.09,7.22,12.38,8.24,10.29,9.52,8.55,2.2,8.62,7.29,10.23,7.2,5.03,6.41,6.28
Time Spent on Fire - Avg per 10 Min,18,3,98,21,,10,7,4,21,207,1,42,67,143,2,114,5,97,44,19,1,59,11,49,1,,34,6,65,24,4,4,68,2,,0,55,80,,7,11,42,10,2,,60,,,15,101,12,15
Objective Contest Time - Avg per 10 Min,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills - Avg per 10 Min,1.86,0.67,2.24,2.11,0.45,2.87,0.94,2.92,1.97,1.55,2.12,1.4,0.83,1.68,2.88,1.31,2.72,0.84,0.5,0.94,4.0,0.82,1.02,0.34,0.49,,1.61,0.24,0.93,1.92,0.41,3.62,0.85,3.46,1.72,2.13,1.35,1.12,,2.91,1.87,1.83,2.28,2.76,,4.31,2.96,2.46,1.47,0.67,0.77,1.24
Objective Kills - Avg per 10 Min,6.1,3.74,5.33,6.64,4.24,7.4,4.92,5.4,6.74,7.96,4.39,5.61,2.39,6.71,5.39,7.04,4.24,3.8,2.25,6.11,6.56,2.4,3.97,2.42,5.8,,6.61,0.82,2.78,7.59,8.92,5.91,6.97,6.77,3.8,6.21,7.72,3.37,1.81,7.48,6.74,7.25,7.95,6.38,,4.31,2.71,7.11,6.93,5.81,8.13,5.03
Objective Time - Avg per 10 Min,57,52,58,46,52,31,77,36,88,91,48,43,26,38,52,81,29,37,15,86,36,40,50,57,82,13,70,37,20,55,88,35,78,49,88,66,91,24,38,46,53,51,29,57,72,47,10,75,107,55,80,43
Time Played,3210475,80752,19596,82612,101993,28636,23045,154490,207972,13122,44057,18395,5776,2147,108087,42201,26905,1422,2401,7655,73128,8733,69376,8922,68021,102,165501,85082,647,98749,26043,43756,5679,60968,52739,67525,10187,2670,332,110271,527343,193582,61626,65029,273,278,31008,51213,99439,86561,75148,89284
Games Played,6905,176,38,182,228,58,49,334,431,29,95,41,12,6,230,93,60,2,5,15,154,20,139,17,145,0,347,181,1,201,56,91,11,132,113,148,20,5,1,239,1145,433,140,140,1,1,72,108,227,177,158,199
Games Won,3527,84,18,90,119,31,24,165,240,20,35,21,3,3,89,44,26,1,1,5,79,6,70,5,76,,175,79,,100,33,44,4,67,60,75,12,2,,145,616,256,75,62,,0,33,59,105,103,68,97
Games Lost,3376,93,20,92,109,28,24,169,190,9,60,20,9,2,141,49,34,1,4,10,74,13,68,13,69,0,172,102,0,101,23,47,7,65,54,73,8,3,1,94,530,177,64,78,1,0,39,50,123,74,90,101
Hero Wins,815,3,18,33,1,2,4,11,34,20,3,11,3,3,18,44,3,1,1,5,1,6,70,5,1,,48,10,,45,0,2,4,6,1,1,7,2,,12,106,106,7,3,,0,1,2,22,103,7,19
Objective Time,306718,6994,1895,6305,8914,1489,2941,9277,30417,1988,3518,1310,246,136,9339,5731,1285,88,62,1091,4397,578,5820,845,9309,2,19336,5302,22,9084,3827,2535,740,5020,7740,7407,1553,105,21,8424,46934,16510,2931,6172,33,22,505,6427,17743,7986,9968,6395
Eliminations,93221,1277,642,2752,1784,903,605,4387,7265,545,1095,596,146,85,3143,1510,584,41,36,221,2164,150,1411,116,1430,,4804,383,14,3713,788,1308,190,1981,1053,1889,345,76,5,4145,17174,6560,2100,1874,3,7,646,1767,2842,2178,2218,2270
Environmental Kills,229,,,3,,,5,,24,,7,,,,,8,,,,,6,,,,23,,,,,,10,28,,,9,14,,,,2,18,,,,,,,32,33,2,2,
Hero Damage Done,26383366,141962,291259,1463060,577610,104768,182169,1000996,1576106,296519,432015,307417,87640,35446,939798,777232,158728,14031,15385,123000,479416,71614,476618,46613,236020,1089,1364325,72997,5019,1121466,211670,156315,105530,395311,200663,414484,185352,42231,4356,1235098,4102106,2398969,558477,342191,2916,3667,121690,186344,1248851,960418,484777,621631
Final Blows,43637,437,288,1532,526,551,205,2679,3180,266,613,325,52,50,1837,725,361,12,10,119,1415,44,570,32,339,,2115,148,3,1410,199,790,113,1222,611,1005,159,36,4,2275,7242,3321,978,927,,4,377,873,1193,726,803,934
Deaths,40175,1011,259,1031,1075,427,301,2428,2053,116,803,236,91,24,1548,434,375,15,34,85,1020,100,605,104,872,3,2079,995,11,1129,284,652,64,956,753,886,99,31,5,1470,6560,2457,662,1135,5,5,455,771,1085,749,817,1010
Damage Done,26383366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,32625,504,174,914,720,353,189,1391,2336,174,322,172,23,24,971,495,190,9,9,78,800,35,459,36,657,,1824,116,3,1249,387,431,66,688,334,699,131,15,,1374,5923,2340,817,691,,2,140,607,1148,838,1018,748
Time Spent on Fire,98628,390,3203,2869,,469,272,952,7178,4527,90,1274,642,511,343,8042,222,229,176,237,115,860,1326,735,74,,9363,781,70,3980,162,283,643,200,,43,936,356,,1265,9929,13686,1077,251,,28,,,2448,14590,1558,2243
