,all-heroes,ana,anran,ashe,baptiste,bastion,brigitte,cassidy,dva,domina,doomfist,echo,emre,freja,genji,hazard,hanzo,illari,jetpack-cat,junker-queen,junkrat,juno,kiriko,lifeweaver,lucio,mauga,mei,mercy,mizuki,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,vendetta,venture,widowmaker,winston,wrecking-ball,wuyang,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4,platinum 4
Support,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3,platinum 3
Open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,104,,,512,,1048,,,2246,,,555,,,,,727,,1411,,,,500,1430,871,960,670,,1491,,,,979,,6367,,,,698,,,,925,,,,,,,,220
Damage Amplified - Avg per 10 Min,,409,,,542,,,,,,,,,,,,,,,,,383,,,,,,1259,,,,,,,,,,,,,,,,,,,,,,,,1095
Biotic Grenade Kills - Avg per 10 Min,,4.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,16,8,22,16,18,12,22,26,20,4,22,20,14,16,21,17,18,9,6,11,11,17,13,13,9,24,4,11,19,20,22,17,22,15,13,21,7,24,11,20,15,9,21,18,14,17,23,15,18,16,16
All Damage Done - Most in Life,,5369,6325,9550,7064,6151,2359,9207,13422,12985,2906,8420,7993,10330,4976,15969,7344,7816,2405,3016,8962,3630,6083,2925,3146,4186,25421,930,5444,6871,9294,10772,7584,7647,6728,6010,15060,4084,11932,7140,5283,5718,7345,7878,5801,4587,6588,7068,5262,8892,9096,6325
Weapon Accuracy - Best in Game,,100,70,56,47,42,,68,51,54,27,38,78,35,51,37,41,58,33,39,27,48,49,44,52,38,73,67,42,,56,61,38,40,,37,70,36,53,38,64,53,30,70,,76,100,75,49,49,75,75
Hero Damage Done - Most in Life,,3659,3508,9026,4378,5176,2002,9001,8162,8310,2906,8395,6236,5483,4818,7820,5367,6548,2405,2672,5254,2409,4899,2205,3079,3847,7082,799,3834,6825,8096,9016,5274,4279,6503,5016,11052,4006,8505,6363,5079,5037,4632,7326,5082,3725,5865,6543,5262,7560,7299,5700
Obj Contest Time - Most in Game,,132,50,49,31,52,82,67,115,193,186,46,48,62,116,93,31,87,49,62,12,37,127,75,84,136,109,74,54,23,119,24,165,49,40,43,252,37,77,43,38,50,45,116,69,36,14,109,116,79,121,45
Obj Contest Time - Avg per 10 Min,,15,25,11,6,17,32,14,46,55,129,12,14,19,21,37,9,18,21,33,4,12,19,15,36,71,31,10,21,12,46,6,47,24,25,33,43,12,14,15,15,16,23,25,25,22,3,38,65,17,51,15
Melee Final Blows - Avg per 10 Min,,0.13,0.2,0.08,0.16,0.17,,0.02,1.2,0.63,1.9,0.36,0.06,0.03,0.68,0.77,0.26,0.16,0.66,0.31,,0.04,0.21,0.12,0.68,0.53,0.07,0.13,0.66,,0.45,0.02,0.18,,,2.06,0.73,,0.02,,0.27,0.1,,1.2,,0.51,0.14,0.75,1.53,0.12,0.28,0.54
All Damage Done - Avg per 10 Min,,4324,8999,10360,5464,13709,4276,8981,11410,18024,7296,10144,13268,10978,7511,18739,10815,7350,5220,8050,11284,4236,5528,3232,5078,11222,29156,584,7123,7513,12835,11043,12866,7658,9154,10142,14984,12437,10530,9378,6643,9013,11345,6928,8224,8429,7130,8059,6799,8566,10970,7968
Eliminations per Life,,2.63,2,3.04,2.52,3.45,1.59,1.71,4.72,4.33,1.86,2.89,2.8,2.47,2.44,4.63,2.57,3.59,2.77,1.32,2.41,2.18,2.53,2.11,2.07,2.83,2.59,0.38,3.36,2.88,4.55,3.05,4.38,3.31,3.12,3.09,5.33,1.83,2.52,2.01,3.33,3.05,3.29,2.55,2.12,2.76,2.76,3.5,2.81,4.27,4.33,3.31
Win Percentage,,57,71,48,45,67,45,29,50,52,4,55,50,39,55,57,66,63,33,1,62,32,59,53,48,29,48,48,78,43,59,72,60,69,82,32,74,22,44,36,55,57,53,56,69,59,53,63,19,66,65,69
All Damage Done,,953357,88468,537825,134037,165587,115243,443735,485942,255886,11515,728942,421291,325894,407123,267241,209945,275440,31764,25740,111863,96982,793871,79742,222488,63466,401282,13795,108697,50941,257654,638794,209249,113588,60956,49234,735023,48932,1982376,89895,194199,94394,86971,988979,97363,115990,151290,214900,31080,577168,157777,411933
Obj Contest Time,,3220,249,553,150,201,868,672,1957,779,203,880,443,569,1154,523,166,683,131,106,36,286,2770,364,1598,400,425,244,324,79,921,368,758,353,166,158,2130,46,2702,147,453,172,176,3571,298,297,55,1022,297,1114,738,787
Weapon Accuracy,,57,29,39,31,26,,40,27,42,26,25,33,25,29,27,21,44,30,34,21,40,29,26,25,33,54,21,33,,38,47,29,28,,24,53,24,28,31,32,32,20,33,,44,36,49,30,33,35,28
Offensive Assists - Avg per 10 Min,,6.54,,,0.86,,4.94,,,,,,,,,,,2.32,0.99,,1.92,,4.23,,6.92,6.72,5.01,11.02,,,5.03,,3.87,,1.8,4.74,2.2,,,,6.23,,,,,,,,,,1.25,9.15
Defensive Assists - Avg per 10 Min,,9.94,,,9.58,,16.51,,,,,,,,,,,,5.75,,,,16.1,12.6,7.35,4.24,,11.44,20.58,12.68,,,,,,0.21,,,,1.46,,,,,,,,,,,8.2,17.68
Critical Hit Damage,,,16734,,,,,,,,,,,,,,,,,,,,,,,17172,,,,,,,,,,,,,,,,,,,,,,,,,,
Critical Hit Damage - Most in Game,,,2900,,,,,,,,,,,,,,,,,,,,,,,3698,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Ignited,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
