,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lucio,mei,mercy,moira,orisa,pharah,reaper,reinhardt,roadhog,sigma,sierra,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1,platinum 1
Damage,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5,master 5
Support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hero Wins,10,,,,,,1,,1,,2,,0,,1,,0,,,,,,,0,,,2,0,0,,,1,,,,,0
Environmental Kills,92,,2,,,,,2,14,,,,,,,46,,,,,7,,2,14,,,,,,,,,,,2,,
Objective Time,62181,6733,2018,1156,42,64,2392,2801,4481,14,8598,933,,52,106,7636,55,103,780,212,256,79,885,1716,961,,216,684,249,67,4,8336,1697,827,618,4784,2626
Eliminations,18353,1245,754,131,16,31,932,735,1658,6,3280,488,,9,14,1055,41,11,210,89,190,48,211,487,198,3,61,396,69,26,5,2582,1393,203,105,800,871
Hero Damage Done,6046346,265962,308890,35758,5630,8608,346587,184408,555189,7058,1152409,214679,757,2511,2151,258289,9843,1812,55587,24917,68637,16406,90164,164295,79374,2044,23725,141873,21287,10410,2034,883937,477434,64259,40748,250767,267905
Final Blows,8986,268,405,32,4,10,572,311,1044,3,1752,304,,3,4,304,17,3,65,16,112,30,113,277,65,2,30,210,27,17,3,1245,983,85,42,270,358
Deaths,7942,661,284,71,15,24,412,128,787,12,1430,242,,5,5,479,10,21,71,20,73,14,119,150,65,5,18,157,38,7,6,1228,673,71,50,222,368
Damage Done,6046346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,6678,544,295,72,10,11,346,220,540,,1069,172,,5,8,475,8,2,104,37,67,18,78,185,81,,23,131,26,5,,942,335,69,50,382,367
Time Spent on Fire,7,,,,,,,,,,7,,,,,,,,,,,,,,,0,,,,,,,,,,,
Melee Final Blows,508,14,5,2,,,8,24,17,,140,3,,,,52,,,,,,,,25,3,,,7,4,,,163,4,6,5,10,14
Objective Contest Time,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,1874,28,102,,,,103,55,190,,354,70,,,,51,3,,10,,21,3,11,51,9,,5,41,2,,,266,399,9,6,23,54
Multikills,143,4,9,,,,5,10,11,,39,4,,,,3,,,6,3,4,,5,,,,,2,,,,17,,,,11,2
of Match on Fire,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
