,all-heroes,ana,ashe,baptiste,bastion,brigitte,cassidy,dva,doomfist,echo,genji,hanzo,junker-queen,junkrat,kiriko,lifeweaver,lucio,mei,mercy,moira,orisa,pharah,ramattra,reaper,reinhardt,roadhog,sigma,sojourn,soldier-76,sombra,symmetra,torbjorn,tracer,widowmaker,winston,wrecking-ball,zarya,zenyatta
Tank,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1,gold 1
Damage,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Support,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5,platinum 5
Environmental Kills,20,,,,,,,,8,,,,,,,,3,,,,,2,,,,3,,,,,,,,,,2,,
Objective Time,12661,122,384,10,40,275,628,859,741,192,1768,1075,84,1053,132,6,231,152,71,333,106,140,,586,499,184,380,413,821,260,233,85,160,234,7,217,79,100
Eliminations,3852,32,124,4,14,28,253,159,181,50,493,418,11,377,21,11,48,41,,98,18,81,,138,134,34,41,122,281,108,50,66,116,207,8,48,19,17
Hero Damage Done,1464595,11083,49379,3329,6755,12150,96937,47754,69813,21331,198446,164405,4241,162007,7362,3116,9015,9522,286,27623,6292,28377,432,54327,59119,15910,18938,43118,111041,31083,18714,33323,29642,73915,2824,22349,6960,3676
Final Blows,2113,10,67,,7,10,159,66,81,25,266,276,3,273,7,2,8,23,,42,6,50,,90,90,9,21,55,136,59,21,32,53,126,4,27,4,4
Deaths,2030,30,67,10,7,25,143,65,94,30,287,251,4,170,20,3,16,10,15,24,5,41,2,64,54,19,10,65,160,48,29,32,40,154,3,14,6,13
Damage Done,1464595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Objective Kills,1332,10,44,,5,9,84,47,56,19,162,148,7,162,8,4,22,13,,42,7,25,,50,40,19,14,34,115,32,23,24,24,49,,15,9,10
Time Spent on Fire,1878,,92,,,,109,,322,31,209,211,,,,8,,,,,,85,,62,178,,,,37,341,,,72,,,121,,
Melee Final Blows,33,,2,,,,3,,5,,6,,,,,,,,,,,,,3,,,,2,,,,,3,,,,,
Objective Contest Time,7435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solo Kills,630,5,17,,2,2,56,27,18,9,57,84,,97,3,,2,4,,9,,18,,24,16,3,4,13,42,14,8,16,13,57,,6,,2
Multikills,43,,,,,,3,9,2,,4,2,,8,,,,,,3,,,,2,4,,,,3,,,,,,,,,
of Match on Fire,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recon Assists,107,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,38,,,,
Defensive Assists,246,28,,,,53,,,,,,,,,26,5,23,,25,21,,,,,,,,,41,,,,,,,,7,16
Offensive Assists,222,26,,3,,39,,,,,,,,37,8,,15,7,14,,5,,,,12,5,5,,,38,,,,,,,3,5
Healing Done,163858,16139,,4882,,19314,,,1114,104,259,,345,,14580,2096,19036,2894,11685,13324,,,,10380,,2188,,,27484,1257,,,,,,690,,5579
Assists,572,20,9,,,59,,22,28,,3,94,4,34,30,5,28,3,31,15,5,6,,,11,2,,19,22,37,14,,,30,,12,10,16
Cards,5,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy - Best in Game,,83,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Self Healing,,3353,,1286,,3701,,,,,,,261,,,270,4773,2894,1942,3003,,,,10380,,12694,,,20419,,,,4482,,,,,285
Self Healing - Most in Game,,1232,,431,,,,,,,,,172,,,270,1552,1433,1130,892,,,,2130,,2730,,,1644,,,,818,,,,,145
Enemies Slept,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy - Best in Game,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Most in Game,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Most in Game,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biotic Grenade Kills,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damage Amplified,,784,,431,,,,,,,,,,,,,,,807,,,,,,,,,,,,,,,,,,,258
Damage Amplified - Most in Game,,784,,431,,,,,,,,,,,,,,,396,,,,,,,,,,,,,,,,,,,185
Healing Amplified,,863,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Amplified - Most in Game,,622,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoped Accuracy,,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
Healing Amplified - Avg per 10 Min,,243,,87.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self Healing - Avg per 10 Min,,945,,1334,,1284,,,,,,,346,,,530,1595,1642,987,783,,,,1393,,4831,,,1201,,,,782,,,,,243
Damage Amplified - Avg per 10 Min,,221,,448,,,,,,,,,,,,,,,410,,,,,,,,,,,,,,,,,,,220
Biotic Grenade Kills - Avg per 10 Min,,3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nano Boost Assists - Avg per 10 Min,,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enemies Slept - Avg per 10 Min,,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sleep Dart Accuracy,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unscoped Accuracy,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eliminations - Most in Life,,5,10,,6,6,11,14,17,8,15,11,5,13,4,4,10,9,,19,8,8,,8,11,8,10,7,14,13,7,10,11,11,8,11,11,3
All Damage Done - Most in Life,,1591,3780,766,4126,1392,4150,3786,5270,2381,5435,4210,3768,7674,1440,1226,1713,6719,240,2867,4907,2363,546,2531,5482,1642,4633,3343,4042,3982,2488,5364,2264,3600,2362,6331,4235,547
Weapon Accuracy - Best in Game,,41,57,38,23,,79,42,100,53,53,50,47,51,26,29,23,71,50,,31,70,17,65,,31,51,39,49,65,40,39,34,100,36,44,43,20
Hero Damage Done - Most in Life,,1322,3655,550,2171,1392,3818,3309,5270,2185,4478,3550,2398,5794,1440,1226,1661,1805,138,2844,2834,2085,386,2531,4310,1642,3881,3343,3790,3348,2416,4065,2264,3600,1867,6331,2842,547
Obj Contest Time - Most in Game,,40,39,1,7,66,68,132,110,26,110,116,50,63,100,6,116,16,45,112,32,29,,70,200,76,126,69,64,44,87,22,58,16,7,61,45,95
Obj Contest Time - Avg per 10 Min,,32,21,2,10,46,28,96,62,32,40,30,102,37,40,12,84,48,35,82,35,17,,63,73,63,141,40,27,22,35,22,24,4,19,80,43,85
All Damage Done - Avg per 10 Min,,4026,7510,4354,16337,4659,7116,8004,7969,6974,7102,7220,7660,9524,3188,6129,3395,17613,260,7347,10428,7249,4856,8172,9680,7079,11423,6681,7627,5584,6139,9506,5634,4553,9246,9407,9071,3176
Eliminations per Life,,1.07,1.85,0.4,2,1.12,1.77,2.45,1.93,1.67,1.72,1.67,2.75,2.22,1.05,3.67,3,4.1,0.07,4.08,3.6,1.98,,2.16,2.48,1.79,4.1,1.88,1.76,2.25,1.72,2.06,2.9,1.34,2.67,3.43,3.17,1.31
Win Percentage,,33,23,7,29,73,36,38,48,43,54,45,9,48,33,100,90,77,42,71,,22,,53,33,25,61,75,46,46,45,49,67,41,,,,
All Damage Done,,14282,55743,4196,11581,13431,104433,65477,78722,23127,229683,200067,5787,184609,8763,3116,10160,31040,511,28181,10114,31193,593,60891,64362,18602,22850,46447,129683,34367,21640,36689,32288,80233,3548,24997,10553,3724
Obj Contest Time,,54,140,1,7,109,388,350,491,96,977,642,77,674,111,6,218,24,69,267,34,69,,352,434,135,187,277,365,132,115,62,136,67,7,213,50,100
Weapon Accuracy,,22,37,33,21,,37,21,30,24,26,28,33,27,25,29,21,47,27,,26,43,17,26,,17,50,28,28,32,26,25,26,31,32,30,40,18
Offensive Assists - Avg per 10 Min,,7.33,,3.11,,13.53,,,,,,,,1.91,2.91,,5.01,3.97,7.12,,5.16,,,,1.8,1.9,2.5,,,6.17,,,,,,,2.58,4.26
Defensive Assists - Avg per 10 Min,,7.89,,1.04,,18.38,,,,,,,,,9.46,9.84,7.69,,12.71,5.47,,,,,,,,,2.41,,,,,,,,6.02,13.64
Scoped Critical Hits,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
